alpha,mu,x0,x1
0.9999,1.29,-4.710000000000113,5.00999999999968
0.9999,1.3,-4.670000000000114,5.01999999999968
0.9999,1.31,-4.620000000000115,5.02999999999968
0.9999,1.32,-4.5800000000001155,5.039999999999679
0.9999,1.33,-4.530000000000117,5.049999999999679
0.9999,1.34,-4.4900000000001175,5.059999999999679
0.9999,1.35,-4.450000000000118,5.069999999999679
0.9999,1.36,-4.400000000000119,5.0799999999996786
0.9999,1.37,-4.36000000000012,5.089999999999678
0.9999,1.3800000000000001,-4.320000000000121,5.099999999999678
0.9999,1.3900000000000001,-4.280000000000122,5.109999999999678
0.9999,1.4000000000000001,-4.240000000000123,5.119999999999678
0.9999,1.41,-4.200000000000124,5.1299999999996775
0.9999,1.42,-4.1600000000001245,5.139999999999677
0.9999,1.43,-4.120000000000125,5.149999999999677
0.9999,1.44,-4.080000000000126,5.159999999999677
0.9999,1.45,-4.040000000000127,5.169999999999677
0.9999,1.46,-4.000000000000128,5.179999999999676
0.9999,1.47,-3.9700000000001285,5.189999999999676
0.9999,1.48,-3.9300000000001294,5.199999999999676
0.9999,1.49,-3.8900000000001302,5.209999999999676
0.9999,1.5,-3.860000000000131,5.219999999999676
0.9999,1.51,-3.8200000000001317,5.229999999999675
0.9999,1.52,-3.7900000000001324,5.239999999999675
0.9999,1.53,-3.7500000000001332,5.249999999999675
0.9999,1.54,-3.720000000000134,5.259999999999675
0.9999,1.55,-3.6800000000001347,5.2699999999996745
0.9999,1.56,-3.6500000000001354,5.279999999999674
0.9999,1.57,-3.620000000000136,5.289999999999674
0.9999,1.58,-3.580000000000137,5.299999999999674
0.9999,1.59,-3.5500000000001375,5.309999999999674
0.9999,1.6,-3.520000000000138,5.319999999999673
0.9999,1.61,-3.4900000000001388,5.329999999999673
0.9999,1.62,-3.4600000000001394,5.339999999999673
0.9999,1.6300000000000001,-3.4200000000001403,5.349999999999673
0.9999,1.6400000000000001,-3.390000000000141,5.359999999999673
0.9999,1.6500000000000001,-3.3600000000001415,5.369999999999672
